Name,Symbol,ContractAddress,ContractDecimal,TotalSupply,PegOnBC,PegOnBSC
Aave Token,AAVE-8FA,0xfb6115445Bff7b52FeB98650C87f44907E58f802,18,50000000000000,49606123988733,3938760112670000000000
CardanoBEP2,ADA-9F4,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,18,37230000000000000,34202205402928232,29885138744006130047010196
AlpacaToken,ALPACA-405,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,18,12641791941798031,12641779187591151,127542068800000000000
ANKR,ANKR-E97,0xf307910A4c7bbc79691fD374889b36d8531B08e3,18,1000000000000000000,952496579344601499,475034206553985010230682872
Aeron,ARN-71B,0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,18,877285825316010,342075052163,8769437502638470000000000
ATOMBEP2,ATOM-596,0x0Eb3a705fc54725037CC9e008bDede697f62F335,18,112000000000000,108993450448247,30065488233410777866153
Travala.com Token,AVA-645,0x13616F44Ba82D63c8C0DC3Ff843D36a8ec1c05a9,18,457423061496224,264173457431800,58586981425682000000000000
BakeryToken,BAKE-5E0,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,18,56155462842614181,56142824754944010,596380876701710040564959
BandProtocolBEP2,BAND-34B,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,18,220000000000000,215376268887115,46237311128850006580347
BasicAttentionToken,BAT-07A,0x101d82428437127bF1608F699CD651e6Abf9766E,18,2030000000000000,1989676205809017,5103237941909830000000000
BCH BEP2,BCH-1FD,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,18,5500000000000,5287390473987,2126095260130000001116
Bitcoin Cash ABC,BCHA-959,0xD475c9c934DCD6d5f1cAC530585aa5ba14185b92,18,4178700000000,4076780111513,4232356314850000000000
Bitcoin Cash ABC,BCHA-A6A,0xDd3c817354E3855ef2B52D15ad2244793c50385A,18,4500000000000,2249660508000,22503394920000000000000
BellaProtocol,BEL-D85,0x8443f091997f06a61670B735ED92734F5628692F,18,300000000000000,298188453442601,18115465573990000000000
BELT Token,BELT-5A3,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,18,361893453491999,361887429493737,60239982620000000000
Binance Beacon ETH,BETH-654,0x250632378E573c6Be1AC2f97Fcdf00515d0Aa91B,18,10000000000000000,9999997802471549,21975284510000000000
BIDR BEP2,BIDR-0E9,0x9A2f5556e9A637e8fBcE886d8e3cf8b316a1D8a2,18,393932357694000000,301970682609040578,86980451952009594220000000000
beefy.finance,BIFI-290,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,18,8000000000000,7985909360950,140906390500000027475
Binance Chain Native Token,BNB,0x0000000000000000000000000000000000000000,18,14893023217301230,5488831384014778,119525082049375890758031309
Bitcoin BEP2,BTCB-1DE,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,18,1380100000000,1362824373144,172726402542427254793
StandardBTCHashrateToken,BTCST-C2E,0x78650B139471520656b9E7aA7A5e9276814a38e9,17,1500000000000000,1499936447071275,63552928725000000000
Bunny Token,BUNNY-2B9,0xC9849E6fdB743d08fAeE3E34dd2D1bc69EA11a51,18,1033679973082197,1033473626803792,2063462784050000000000
Burger Swap,BURGER-33A,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,18,1228476953736919,1228287597349995,1894563869240016387644
Binance USD,BUSD-BD1,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,18,7273841053221126,5776300141790997,63237082507020556376006101
BXD Token,BXD-745,0xcae74533e8605a87564982c03f63Ce44177f1277,18,210000000000000000,199500000000000000,105000000000000000000000000
PancakeSwap Token,CAKE-435,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,18,20335488151716902,20324521095356050,109670737352695725488443
CanYaCoin,CAN-677,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,18,9582700000000000,8080746756837667,15019532431623330000000000
CASHAA,CAS-167,0x780207B8C0Fdc32cF60E957415bFa1f2d4d9718c,18,100000000000000000,91996024187590886,80039758124091140000000000
